X1,X2,Y
88,38,1
40,79,0
1,34,0
50,47,0
30,95,0
98,1,1
63,91,1
30,70,0
70,47,1
16,68,0
31,12,0
27,55,0
32,18,0
71,100,1
84,74,1
96,66,1
83,65,1
98,74,1
17,79,0
21,98,0
30,39,0
1,38,0
66,70,1
19,50,0
6,95,0
72,9,1
41,74,0
19,29,0
99,16,1
76,13,1
24,90,0
44,83,0
75,34,1
5,86,0
50,41,0
47,69,0
84,88,1
36,22,0
38,96,0
74,82,1
22,62,0
98,7,1
48,55,0
12,24,0
3,1,0
92,77,1
16,18,0
77,38,1
81,48,1
89,13,1
92,42,1
46,6,0
72,14,1
73,69,1
32,17,0
14,58,0
47,26,0
18,74,0
1,53,0
66,99,1
39,67,0
74,20,1
63,53,1
36,7,0
88,84,1
82,72,1
22,12,0
48,48,0
59,63,1
43,82,0
28,32,0
42,29,0
83,15,1
84,11,1
11,71,0
57,36,1
0,11,0
76,93,1
5,86,0
38,45,0
9,73,0
51,53,1
46,51,0
93,63,1
57,78,1
62,43,1
18,30,0
88,91,1
78,86,1
53,10,1
21,22,0
51,56,1
79,31,1
36,7,0
63,70,1
77,19,1
12,72,0
29,27,0
6,96,0
