X1,X2,Y
77,98,0
19,56,0
90,0,0
83,68,0
54,1,0
71,75,0
93,41,0
86,42,0
65,52,0
8,22,0
9,83,0
6,78,0
54,99,0
76,95,0
4,48,0
70,91,0
36,75,1
63,48,1
70,56,0
34,9,0
69,41,0
4,11,0
88,43,0
80,20,0
78,39,0
65,48,0
64,10,0
66,29,0
93,19,0
43,20,0
61,4,0
4,61,0
82,41,0
50,48,1
72,6,0
54,50,1
82,7,0
48,34,1
40,86,0
28,6,0
87,95,0
71,25,0
63,98,0
41,73,1
94,6,0
55,49,1
41,84,0
85,80,0
89,38,0
15,58,0
79,34,0
52,40,1
28,17,0
6,50,0
80,32,0
69,93,0
22,78,0
68,2,0
12,50,0
90,100,0
66,49,0
71,88,0
29,89,0
43,83,0
94,40,0
16,88,0
9,92,0
22,38,0
1,86,0
3,32,0
55,29,1
61,39,1
3,16,0
45,4,0
51,39,1
80,64,0
45,63,1
42,77,1
19,74,0
9,58,0
4,18,0
45,10,0
98,55,0
83,22,0
13,44,0
73,63,0
18,22,0
50,84,0
85,92,0
53,5,0
11,24,0
82,83,0
43,72,1
75,34,0
20,54,0
99,23,0
57,27,1
93,18,0
88,94,0
